"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 03 15:08:16 GMT 2023","Tue Oct 03 15:08:20 GMT 2023","3866","setup","","","","","should login as an admin",""
"passed","Tue Oct 03 15:08:33 GMT 2023","Tue Oct 03 15:08:40 GMT 2023","6888","chromium","","Recruitment module","","","should filter Vacancies and check results are correct",""
"passed","Tue Oct 03 15:08:21 GMT 2023","Tue Oct 03 15:08:33 GMT 2023","11656","chromium","","Recruitment module","","","should apply vacancy and check that record appears on the Candidates page",""
