"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 02 17:10:15 GMT 2023","Mon Oct 02 17:10:23 GMT 2023","8356","chromium","","Recruitment module","","","should filter Vacancies and check results are correct",""
"passed","Mon Oct 02 17:09:51 GMT 2023","Mon Oct 02 17:09:56 GMT 2023","4536","setup","","","","","should login as an admin",""
"passed","Mon Oct 02 17:09:58 GMT 2023","Mon Oct 02 17:10:15 GMT 2023","17459","chromium","","Recruitment module","","","should apply vacancy and check that record appears on the Candidates page",""
